0,1,2,3,4,5,6
2020-01-01T00:05:00.000000000,795.0,124.0,175.0,677.0,1122.0,2193.0
2020-01-01T00:10:00.000000000,750.0,141.0,159.0,703.0,856.0,1814.0
2020-01-01T00:15:00.000000000,538.0,73.0,178.0,707.0,765.0,1792.0
2020-01-01T00:20:00.000000000,824.0,99.0,168.0,655.0,651.0,1659.0
2020-01-01T00:25:00.000000000,652.0,108.0,240.0,824.0,997.0,1517.0
2020-01-01T00:30:00.000000000,433.0,37.0,120.0,547.0,848.0,1354.0
2020-01-01T00:35:00.000000000,404.0,156.0,101.0,636.0,572.0,1399.0
2020-01-01T00:40:00.000000000,444.0,68.0,171.0,529.0,645.0,1332.0
2020-01-01T00:45:00.000000000,558.0,41.0,203.0,601.0,529.0,1203.0
2020-01-01T00:50:00.000000000,620.0,40.0,230.0,599.0,505.0,1474.0
2020-01-01T00:55:00.000000000,403.0,121.0,192.0,508.0,489.0,1308.0
2020-01-01T01:00:00.000000000,333.0,113.0,214.0,492.0,509.0,1287.0
2020-01-01T01:05:00.000000000,233.0,10.0,176.0,515.0,439.0,1127.0
2020-01-01T01:10:00.000000000,312.0,11.0,225.0,391.0,515.0,974.0
2020-01-01T01:15:00.000000000,355.0,38.0,190.0,410.0,269.0,971.0
2020-01-01T01:20:00.000000000,263.0,32.0,224.0,391.0,326.0,1018.0
2020-01-01T01:25:00.000000000,277.0,20.0,202.0,419.0,333.0,877.0
2020-01-01T01:30:00.000000000,247.0,17.0,134.0,374.0,387.0,946.0
2020-01-01T01:35:00.000000000,416.0,21.0,138.0,381.0,345.0,796.0
2020-01-01T01:40:00.000000000,257.0,32.0,131.0,339.0,359.0,789.0
2020-01-01T01:45:00.000000000,319.0,9.0,125.0,306.0,366.0,941.0
2020-01-01T01:50:00.000000000,227.0,34.0,112.0,338.0,314.0,990.0
2020-01-01T01:55:00.000000000,198.0,21.0,130.0,248.0,312.0,741.0
2020-01-01T02:00:00.000000000,208.0,59.0,93.0,315.0,272.0,814.0
2020-01-01T02:05:00.000000000,208.0,35.0,66.0,273.0,421.0,881.0
2020-01-01T02:10:00.000000000,205.0,15.0,109.0,334.0,302.0,938.0
2020-01-01T02:15:00.000000000,186.0,17.0,91.0,335.0,370.0,748.0
2020-01-01T02:20:00.000000000,101.0,21.0,99.0,242.0,260.0,791.0
2020-01-01T02:25:00.000000000,151.0,13.0,102.0,280.0,266.0,831.0
2020-01-01T02:30:00.000000000,206.0,30.0,86.0,260.0,263.0,879.0
2020-01-01T02:35:00.000000000,118.0,18.0,102.0,345.0,568.0,835.0
2020-01-01T02:40:00.000000000,181.0,35.0,161.0,228.0,484.0,921.0
2020-01-01T02:45:00.000000000,174.0,32.0,112.0,254.0,376.0,936.0
2020-01-01T02:50:00.000000000,145.0,22.0,94.0,247.0,321.0,872.0
2020-01-01T02:55:00.000000000,198.0,64.0,72.0,207.0,162.0,837.0
2020-01-01T03:00:00.000000000,158.0,25.0,79.0,260.0,188.0,818.0
2020-01-01T03:05:00.000000000,139.0,31.0,49.0,216.0,176.0,772.0
2020-01-01T03:10:00.000000000,187.0,50.0,107.0,224.0,166.0,578.0
2020-01-01T03:15:00.000000000,132.0,61.0,109.0,197.0,609.0,710.0
2020-01-01T03:20:00.000000000,215.0,17.0,139.0,197.0,491.0,619.0
2020-01-01T03:25:00.000000000,186.0,27.0,141.0,231.0,337.0,556.0
2020-01-01T03:30:00.000000000,131.0,6.0,135.0,175.0,324.0,405.0
2020-01-01T03:35:00.000000000,153.0,20.0,75.0,228.0,415.0,473.0
2020-01-01T03:40:00.000000000,246.0,17.0,43.0,185.0,520.0,400.0
2020-01-01T03:45:00.000000000,290.0,13.0,79.0,186.0,388.0,434.0
2020-01-01T03:50:00.000000000,186.0,67.0,74.0,203.0,351.0,442.0
2020-01-01T03:55:00.000000000,148.0,41.0,93.0,194.0,220.0,397.0
2020-01-01T04:00:00.000000000,175.0,38.0,77.0,192.0,317.0,412.0
2020-01-01T04:05:00.000000000,191.0,40.0,46.0,142.0,282.0,443.0
2020-01-01T04:10:00.000000000,158.0,38.0,73.0,140.0,197.0,384.0
2020-01-01T04:15:00.000000000,106.0,6.0,78.0,168.0,245.0,436.0
2020-01-01T04:20:00.000000000,168.0,23.0,66.0,195.0,255.0,414.0
2020-01-01T04:25:00.000000000,167.0,18.0,102.0,181.0,283.0,373.0
2020-01-01T04:30:00.000000000,152.0,35.0,103.0,162.0,325.0,392.0
2020-01-01T04:35:00.000000000,224.0,60.0,122.0,167.0,290.0,369.0
2020-01-01T04:40:00.000000000,120.0,2.0,150.0,114.0,443.0,423.0
2020-01-01T04:45:00.000000000,179.0,17.0,148.0,150.0,898.0,405.0
2020-01-01T04:50:00.000000000,166.0,30.0,129.0,128.0,715.0,368.0
2020-01-01T04:55:00.000000000,134.0,87.0,52.0,149.0,551.0,427.0
2020-01-01T05:00:00.000000000,117.0,60.0,66.0,155.0,424.0,478.0
