date,number
2020/01/01 00:05,795
2020/01/01 00:10,750
2020/01/01 00:15,538
2020/01/01 00:20,824
2020/01/01 00:25,652
2020/01/01 00:30,433
2020/01/01 00:35,404
2020/01/01 00:40,444
2020/01/01 00:45,558
2020/01/01 00:50,620
2020/01/01 00:55,403
2020/01/01 01:00,333
2020/01/01 01:05,233
2020/01/01 01:10,312
2020/01/01 01:15,355
2020/01/01 01:20,263
2020/01/01 01:25,277
2020/01/01 01:30,247
2020/01/01 01:35,416
2020/01/01 01:40,257
2020/01/01 01:45,319
2020/01/01 01:50,227
2020/01/01 01:55,198
2020/01/01 02:00,208
2020/01/01 02:05,208
2020/01/01 02:10,205
2020/01/01 02:15,186
2020/01/01 02:20,101
2020/01/01 02:25,151
2020/01/01 02:30,206
2020/01/01 02:35,118
2020/01/01 02:40,181
2020/01/01 02:45,174
2020/01/01 02:50,145
2020/01/01 02:55,198
2020/01/01 03:00,158
2020/01/01 03:05,139
2020/01/01 03:10,187
2020/01/01 03:15,132
2020/01/01 03:20,215
2020/01/01 03:25,186
2020/01/01 03:30,131
2020/01/01 03:35,153
2020/01/01 03:40,246
2020/01/01 03:45,290
2020/01/01 03:50,186
2020/01/01 03:55,148
2020/01/01 04:00,175
2020/01/01 04:05,191
2020/01/01 04:10,158
2020/01/01 04:15,106
2020/01/01 04:20,168
2020/01/01 04:25,167
2020/01/01 04:30,152
2020/01/01 04:35,224
2020/01/01 04:40,120
2020/01/01 04:45,179
2020/01/01 04:50,166
2020/01/01 04:55,134
2020/01/01 05:00,117
2020/01/01 05:05,197
2020/01/01 05:10,130
2020/01/01 05:15,194
2020/01/01 05:20,143
2020/01/01 05:25,133
2020/01/01 05:30,105
2020/01/01 05:35,239
2020/01/01 05:40,254
2020/01/01 05:45,147
2020/01/01 05:50,119
2020/01/01 05:55,64
2020/01/01 06:00,65
2020/01/01 06:05,105
2020/01/01 06:10,169
2020/01/01 06:15,89
2020/01/01 06:20,134
2020/01/01 06:25,308
2020/01/01 06:30,173
2020/01/01 06:35,238
2020/01/01 06:40,233
2020/01/01 06:45,269
2020/01/01 06:50,412
2020/01/01 06:55,423
2020/01/01 07:00,597
2020/01/01 07:05,461
2020/01/01 07:10,280
2020/01/01 07:15,270
2020/01/01 07:20,197
2020/01/01 07:25,300
2020/01/01 07:30,240
2020/01/01 07:35,340
2020/01/01 07:40,372
2020/01/01 07:45,403
2020/01/01 07:50,400
2020/01/01 07:55,328
2020/01/01 08:00,275
2020/01/01 08:05,474
2020/01/01 08:10,354
2020/01/01 08:15,248
2020/01/01 08:20,256
2020/01/01 08:25,316
2020/01/01 08:30,288
2020/01/01 08:35,364
2020/01/01 08:40,367
2020/01/01 08:45,311
2020/01/01 08:50,327
2020/01/01 08:55,304
2020/01/01 09:00,443
2020/01/01 09:05,425
2020/01/01 09:10,490
2020/01/01 09:15,466
2020/01/01 09:20,453
2020/01/01 09:25,400
2020/01/01 09:30,524
2020/01/01 09:35,455
2020/01/01 09:40,446
2020/01/01 09:45,589
2020/01/01 09:50,535
2020/01/01 09:55,414
2020/01/01 10:00,573
2020/01/01 10:05,660
2020/01/01 10:10,681
2020/01/01 10:15,578
2020/01/01 10:20,591
2020/01/01 10:25,645
2020/01/01 10:30,521
2020/01/01 10:35,573
2020/01/01 10:40,688
2020/01/01 10:45,690
2020/01/01 10:50,783
2020/01/01 10:55,746
2020/01/01 11:00,678
2020/01/01 11:05,821
2020/01/01 11:10,791
2020/01/01 11:15,656
2020/01/01 11:20,775
2020/01/01 11:25,698
2020/01/01 11:30,971
2020/01/01 11:35,887
2020/01/01 11:40,905
2020/01/01 11:45,891
2020/01/01 11:50,924
2020/01/01 11:55,993
2020/01/01 12:00,948
2020/01/01 12:05,817
2020/01/01 12:10,808
2020/01/01 12:15,925
2020/01/01 12:20,919
2020/01/01 12:25,967
2020/01/01 12:30,656
2020/01/01 12:35,774
2020/01/01 12:40,799
2020/01/01 12:45,740
2020/01/01 12:50,643
2020/01/01 12:55,622
2020/01/01 13:00,846
2020/01/01 13:05,671
2020/01/01 13:10,613
2020/01/01 13:15,707
2020/01/01 13:20,766
2020/01/01 13:25,661
2020/01/01 13:30,545
2020/01/01 13:35,649
2020/01/01 13:40,672
2020/01/01 13:45,976
2020/01/01 13:50,799
2020/01/01 13:55,749
2020/01/01 14:00,929
2020/01/01 14:05,1042
2020/01/01 14:10,1102
2020/01/01 14:15,765
2020/01/01 14:20,812
2020/01/01 14:25,722
2020/01/01 14:30,705
2020/01/01 14:35,865
2020/01/01 14:40,1029
2020/01/01 14:45,777
2020/01/01 14:50,922
2020/01/01 14:55,858
2020/01/01 15:00,766
2020/01/01 15:05,866
2020/01/01 15:10,959
2020/01/01 15:15,888
